㠴	ren4
㠵	huang1
㠶	fan2
㠷	ge2
㠸	ku4
㠹	jie4
㠺	sha1
㠼	si1
㠽	tong2
㠾	yuan1
㠿	zi1
㡀	bi4
㡁	kua3
㡂	li4
㡃	huang1
㡄	xun2
㡅	nuo3
㡇	zhe2
㡈	wen4
㡉	xian2
㡊	qia4
㡋	ye2
㡌	mao4
㡏	shu4
㡑	qiao1
㡒	zhun1
㡓	kun1
㡔	wu4
㡕	ying1
㡖	chuang2
㡗	ti2
㡘	lian2
㡙	bi1
㡚	gou1
㡛	mang2
㡜	xie4
㡝	feng4
㡞	lou2
㡟	zao1
㡠	zheng4
㡡	chu2
㡢	man4
㡣	long2
㡥	yin4
㡦	pin1
㡧	zheng4
㡨	jian1
㡩	luan2
㡪	nie2
㡫	yi4
㡭	ji4
㡮	ji2
㡯	zhai2
㡰	yu3
㡱	jiu3
㡲	huan2
㡳	zhi3
㡴	la1
㡵	ling2
㡶	zhi3
㡷	ben3
㡸	zha4
㡹	ju1
㡺	dan4
㡻	liao4
㡼	yi4
㡽	zhao4
㡾	xian4
㡿	chi4
㢀	ci4
㢁	chi3
㢂	yan3
㢃	lang2
㢄	dou4
㢅	long4
㢆	chan2
㢈	tui2
㢉	cha2
㢊	ai3
㢋	chi3
㢍	ying3
㢎	zhe2
㢏	tou2
㢑	tui2
㢒	cha2
㢓	yao3
㢔	zong3
㢖	pan1
㢗	qiao4
㢘	lian2
㢙	qin2
㢚	lu3
㢛	yan4
㢜	kang1
㢝	su1
㢞	yi4
㢟	chan1
㢠	jiong3
㢡	jiang3
㢣	jing4
㢥	dong4
㢧	juan4
㢨	han4
㢩	di4
㢬	hong2
㢮	chi2
㢯	diao1
㢰	bi4
㢳	lu2
㢵	xie2
㢶	bi4
㢸	bi4
㢺	xian2
㢻	rui4
㢼	bie4
㢽	er3
㢾	juan4
㣀	zhen4
㣁	bei4
㣂	e4
㣃	yu3
㣄	qu2
㣅	zan4
㣆	mi2
㣇	yi4
㣈	si4
㣌	shan4
㣍	tai2
㣎	mu4
㣏	jing4
㣐	bian4
㣑	rong2
㣒	ceng4
㣓	can4
㣔	ding1
㣙	di2
㣚	tong3
㣛	ta4
㣜	xing2
㣝	song1
㣞	duo2
㣟	xi4
㣠	tao1
㣢	ti2
㣣	shan4
㣤	jian4
㣥	zhi4
㣦	wei1
㣧	yin4
㣪	huan3
㣫	zhong3
㣬	qi4
㣭	zong1
㣯	xie4
㣰	xie4
㣱	ze2
㣲	wei2
㣵	ta4
㣶	zhan1
㣷	ning4
㣺	xin1
㣻	yi4
㣼	ren3
㣽	shu4
㣾	cha4
㣿	zhuo2
㤁	mian3
㤂	ji2
㤃	fang2
㤄	pei4
㤆	fan4
㤇	ao3
㤈	qin4
㤉	qia1
㤊	xiao4
㤋	fen1
㤌	gan1
㤍	qiao1
㤎	ge1
㤏	tong2
㤐	chan1
㤑	you4
㤒	gao1
㤓	ben4
㤔	fu4
㤕	chu4
㤖	zhu4
㤘	zhou4
㤚	hang2
㤛	nin2
㤜	jue2
㤝	chong1
㤞	cha4
㤟	kong3
㤠	lie4
㤡	li4
㤢	yu4
㤤	yu2
㤥	hai4
㤦	li4
㤧	hou2
㤨	gong3
㤩	ke4
㤪	yuan4
㤫	de2
㤬	hui4
㤮	guang4
㤯	jiong3
㤰	zuo4
㤱	fu4
㤲	qie4
㤳	bei3
㤴	che4
㤵	ci2
㤶	mang2
㤷	han1
㤸	xi4
㤹	qiu2
㤺	huang3
㤽	chou2
㤽㤽	chou2 chou2
㤾	san4
㤿	yan1
㥀	zhi2
㥂	te4
㥃	men4
㥄	ling2
㥅	shou4
㥆	tui4
㥇	can2
㥈	die2
㥉	che4
㥊	peng2
㥋	yi1
㥌	ju2
㥍	ji4
㥎	lai2
㥏	tian3
㥐	yuan4
㥒	cai3
㥓	qi1
㥔	yu4
㥕	lian2
㥖	cong1
㥚	yu2
㥛	ji2
㥜	wei4
㥝	mi3
㥞	sui4
㥟	xie2
㥠	xu1
㥡	chi4
㥢	qiu2
㥣	hui4
㥥	yu2
㥦	qie4
㥧	shun4
㥨	shui4
㥩	duo3
㥪	lou2
㥬	pang2
㥭	tai4
㥮	zhou4
㥰	sao1
㥱	fei3
㥲	chen1
㥳	yuan2
㥴	yi2
㥵	hun4
㥶	se4
㥷	ye4
㥸	min3
㥹	fen3
㥺	he2
㥼	yin4
㥽	ce4
㥾	ni4
㥿	ao4
㦀	feng2
㦁	lian2
㦂	chang2
㦃	chan3
㦄	ma2
㦅	die1
㦆	hu1
㦇	lu4
㦉	yi4
㦊	hua2
㦋	zha1
㦌	hu1
㦍	e4
㦎	huo4
㦏	sun3
㦐	ni4
㦑	xian4
㦒	li2
㦓	xian4
㦔	yan4
㦕	long2
㦖	men4
㦗	jin1
㦘	ji1
㦚	bian3
㦛	yu3
㦜	huo4
㦝	miao3
㦞	chou2
㦟	mai2
㦡	le4
㦢	jie2
㦣	wei4
㦤	yi4
㦥	xuan1
㦦	xi4
㦧	can3
㦨	lan2
㦩	yin3
㦪	xie4
㦫	za1
㦬	luo3
㦭	ling2
㦮	qian2
㦯	huo4
㦰	jian1
㦱	wo3
㦴	ge2
㦵	zhu1
㦶	die2
㦷	yong3
㦸	ji3
㦹	yang2
㦺	ru4
㦻	xi2
㦼	shuang4
㦽	yu4
㦾	yi2
㦿	qian3
㧀	ji2
㧁	qu4
㧂	tian2
㧃	shou1
㧄	qian3
㧅	mu4
㧆	jin1
㧇	mao3
㧈	yin3
㧉	gai4
㧊	po1
㧋	xuan3
㧌	mao4
㧍	fang3
㧎	ya2
㧏	gang1
㧐	song3
㧑挹	hui1 yi4
㧑损	hui1 sun3
㧒	yu4
㧓	gua1
㧔	guai4
㧕	liu3
㧖	e4
㧗	zi3
㧘	zi4
㧙	bi4
㧚	wa3
㧜	lie4
㧟	kuai3
㧡	hai4
㧢	yin1
㧣	zhu1
㧤	chong4
㧥	xian3
㧦	xuan4
㧨	qiu2
㧩	pei4
㧪	gui3
㧫	er2
㧬	gong3
㧭	qiong2
㧮	hu1
㧯	lao3
㧰	li4
㧱	chen4
㧲	san3
㧳	zhuo4
㧴	wo3
㧵	pou2
㧶	keng1
㧷	tun4
㧸	peng1
㧹	te4
㧺	ta4
㧻	zhuo2
㧼	biao4
㧽	gu4
㧾	hu1
㨀	bing3
㨁	zhi4
㨂	dong3
㨃	dui3
㨄	zhou1
㨅	nei4
㨆	lin3
㨇	po2
㨈	ji3
㨉	min2
㨊	wei3
㨋	che3
㨌	gou4
㨍	bang1
㨎	ru2
㨏	tan1
㨐	bu3
㨑	zong1
㨒	kui1
㨓	lao2
㨔	han4
㨕	ying2
㨖	zhi4
㨘	xing3
㨙	xie2
㨚	xun2
㨛	shan3
㨜	qian2
㨝	xie1
㨞	su4
㨟	hai1
㨠	mi4
㨡	hun2
㨢	pi1
㨤	hui4
㨥	na4
㨦	song3
㨧	ben4
㨨	chou1
㨩	jie2
㨪	huang4
㨫	lan3
㨭	hu4
㨮	dou1
㨯	huo4
㨰	gun3
㨱	yao2
㨲	ce4
㨳	gui3
㨴	jian4
㨵	jian3
㨶	dao3
㨷	jin4
㨸	ma4
㨹	hui4
㨺	mian3
㨻	can2
㨼	lve4
㨽	pi4
㨾	yang4
㨿	ju4
㩀	ju4
㩁	que4
㩃	qian1
㩄	shai1
㩆	jiu4
㩇	huo4
㩈	yun3
㩉	da2
㩊	xuan1
㩋	xiao1
㩌	fei4
㩍	ce4
㩎	ye4
㩐	den4
㩒	qin2
㩓	hui3
㩔	tun2
㩖	qiang2
㩗	xi2
㩘	ni3
㩙	sai1
㩚	meng2
㩛	tuan2
㩜	lan3
㩝	hao2
㩞	ci4
㩟	zhai4
㩠	ao1
㩡	luo3
㩢	mie4
㩤	fu1
㩦	xie2
㩧	bo2
㩨	hui4
㩩	qing3
㩪	xie2
㩭	bo2
㩮	qian2
㩯	po2
㩰	jiao3
㩱	jue2
㩲	kun3
㩳	song3
㩴	ju2
㩵	e4
㩶	nie4
㩷	qian1
㩸	die2
㩹	die2
㩻	qi1
㩼	zhi1
㩽	qi2
㩾	zhui4
㩿	ku1
㪀	yu2
㪁	qin2
㪂	ku1
㪃	he2
㪄	fu2
㪅	geng4
㪆	di3
㪇	xian4
㪈	gui4
㪉	he2
㪊	qun2
㪋	han4
㪌	tong3
㪍	bo2
㪎	shan3
㪏	bi3
㪐	lu4
㪑	ye4
㪒	ni2
㪓	chuai2
㪔	san4
㪕	diao4
㪖	lu4
㪗	tou3
㪘	lian3
㪙	ke3
㪚	san4
㪛	zhen3
㪜	chuai3
㪝	lian4
㪞	mao4
㪠	qian1
㪡	kai4
㪢	shao3
㪣	xiao1
㪤	bi4
㪥	zha1
㪦	yin4
㪧	xi1
㪨	shan4
㪩	su4
㪪	sa4
㪫	rui4
㪬	chuo1
㪭	lu2
㪮	ling2
㪯	cha2
㪱	huan4
㪴	jia2
㪵	ban4
㪶	hu2
㪷	dou3
㪹	lou3
㪺	ju1
㪻	juan4
㪼	ke3
㪽	suo3
㪾	luo4
㪿	zhe2
㫀	ding3
㫁	duan4
㫂	zhu4
㫃	yan3
㫄	pang2
㫅	cha2
㫊	yi3
㫍	you2
㫎	hui1
㫏	yao3
㫐	yao3
㫑	zhi3
㫒	gong3
㫓	qi3
㫔	gen4
㫗	hou4
㫘	mi4
㫙	fu2
㫚	hu1
㫛	guang4
㫜	tan3
㫝	di1
㫟	yan2
㫢	qu4
㫤	chang3
㫥	ming3
㫦	tao1
㫧	bao4
㫨	an1
㫫	xian3
㫯	mao4
㫰	lang4
㫱	nan3
㫲	bei4
㫳	chen2
㫵	fei1
㫶	zhou3
㫷	ji1
㫸	jie1
㫹	shu4
㫻	kun4
㫼	die2
㫽	lu4
㬂	yu2
㬃	tai2
㬄	chan4
㬅	man4
㬆	min3
㬇	huan4
㬈	wen1
㬉	nuan3
㬊	huan4
㬋	hou2
㬌	jing4
㬍	bo2
㬏	li4
㬐	jin4
㬒	mang3
㬓	piao4
㬔	hao2
㬕	yang2
㬗	xian4
㬘	su4
㬙	wei3
㬚	che4
㬛	xi1
㬜	jin4
㬝	ceng2
㬞	he4
㬟	fen1
㬠	shai4
㬡	ling2
㬣	dui4
㬤	qi1
㬥	pu4
㬦	yue4
㬧	bo2
㬩	hui4
㬪	die2
㬫	yan4
㬬	ju4
㬭	jiao4
㬮	nan4
㬯	lie4
㬰	yu2
㬱	ti4
㬲	tian1
㬳	wu3
㬴	hong3
㬵	xiao2
㬶	hao4
㬸	tiao1
㬹	zheng1
㬻	huang1
㬼	fu4
㬿	tun1
㭁	reng2
㭂	jiao3
㭄	xin4
㭇	yuan4
㭈	jue2
㭉	hua2
㭋	bang4
㭌	mou2
㭎	gang1
㭏	wei3
㭑	mei4
㭒	si4
㭓	bian4
㭔	lu2
㭕	qu1
㭘	ge2
㭙	zhe2
㭚	lv3
㭛	pai4
㭜	rong2
㭝	qiu2
㭞	lie4
㭟	gong3
㭠	xian3
㭡	xi4
㭢	xin1
㭤	niao3
㭨	xie2
㭩	lie4
㭪	fu1
㭫	cuo2
㭬	zhuo2
㭭	ba1
㭮	zuo4
㭯	zhe2
㭰	zui1
㭱	he2
㭲	ji2
㭴	jian1
㭸	tu2
㭹	xian2
㭺	yan3
㭻	tang2
㭼	ta4
㭽	di3
㭾	jue2
㭿	ang2
㮀	han2
㮁	xiao2
㮂	ju2
㮃	wei1
㮄	bang3
